date,compound_score,positive_score,neutral_score,negative_score
2020-01-04,-0.05464,0,0.9754,0.0246
2020-01-05,-0.0237,0.0572,0.8658,0.077
2020-01-06,0.05828,0.1114,0.8074,0.0812
2020-01-07,-0.36836,0,0.8336,0.1664
2020-01-08,0.3288,0.1716,0.8284,0
2020-01-09,-0.384,0.0266,0.7912,0.1824
2020-01-10,0.37748,0.1824,0.8176,0
2020-01-11,-0.08292,0.0598,0.8374,0.1028
2020-01-12,0.08774,0.0982,0.8514,0.0504
2020-01-13,0.35022,0.2316,0.718,0.0504
2020-01-14,-0.09534,0.0504,0.8752,0.0744
2020-01-15,-0.07626,0.06,0.8666,0.0734
2020-01-16,0.16366,0.1082,0.8632,0.0286
2020-01-17,0.1827,0.0914,0.9086,0
2020-01-18,0.16648,0.1174,0.8606,0.022
2020-01-19,0.2123,0.104,0.8712,0.0248
2020-01-20,0.42214,0.193,0.807,0
2020-01-21,0.16422,0.0788,0.9212,0
2020-01-22,-0.04526,0,0.981,0.019
2020-01-23,0.2156,0.13,0.8172,0.0528
2020-01-24,-0.12162,0,0.9126,0.0874
2020-01-25,0.13018,0.118,0.8348,0.0472
2020-01-26,0.14826,0.1304,0.819,0.0506
2020-01-27,0.19914,0.1318,0.7864,0.0816
2020-01-28,-0.06846,0.1518,0.7708,0.0774
2020-01-29,0.16124,0.1334,0.8118,0.0548
2020-01-30,0.2887,0.1504,0.8496,0
2020-01-31,-0.04938,0.0854,0.8234,0.0912
2020-02-01,0.2534,0.236,0.6864,0.0776
2020-02-02,-0.07044,0.0904,0.7862,0.1234
2020-02-03,-0.07192,0.0348,0.9112,0.054
2020-02-04,0.09478,0.142,0.709,0.1486
2020-02-05,0.05998,0.0788,0.8908,0.0304
2020-02-06,0.2583,0.2164,0.6912,0.0924
2020-02-07,-0.12498,0.0442,0.8458,0.11
2020-02-08,0.28468,0.186,0.7842,0.0298
2020-02-09,-0.29532,0.0412,0.779,0.1798
2020-02-10,0.08024,0.0536,0.9166,0.03
2020-02-11,0.72078,0.4196,0.5804,0
2020-02-12,0.3194,0.2182,0.7436,0.0382
2020-02-13,0.1228,0.137,0.7684,0.0946
2020-02-14,0.50038,0.3336,0.6092,0.0572
2020-02-15,0.20682,0.0862,0.9138,0
2020-02-16,0.1801,0.088,0.912,0
2020-02-17,-0.08562,0.036,0.829,0.135
2020-02-18,0.061,0.1082,0.8226,0.0694
2020-02-19,-0.25886,0,0.8846,0.1154
2020-02-20,0.12498,0.0724,0.9276,0
2020-02-21,-0.24226,0.0396,0.7606,0.1998
2020-02-22,-0.2331,0.0294,0.8458,0.1248
2020-02-23,0.10632,0.0738,0.8914,0.0348
2020-02-24,0.16214,0.1368,0.773,0.0902
2020-02-25,-0.16934,0.0762,0.6954,0.2284
2020-02-26,-0.27484,0.018,0.8594,0.1228
2020-02-27,0.0256,0.1048,0.8126,0.0826
2020-02-28,0.06142,0.1262,0.7802,0.0936
2020-02-29,-0.14702,0.103,0.6298,0.267
2020-03-01,0.01132,0.0358,0.9294,0.0348
2020-03-02,-0.07648,0.0842,0.8076,0.1082
2020-03-03,0.06604,0.0602,0.9188,0.021
2020-03-04,-0.04752,0.0398,0.8528,0.1074
2020-03-05,0.08462,0.2188,0.576,0.205
2020-03-06,-0.0734,0.0532,0.826,0.1208
2020-03-07,-0.154,0.1076,0.6576,0.2348
2020-03-08,-0.00794,0.0382,0.924,0.0378
2020-03-09,0.05966,0.1906,0.6694,0.14
